principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor
Midazolam,Ampolla,Midazolam 15 mg,ml,Dormicum,Siegfried,11199.8,Alto,3
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,3752.866667,Medio,2
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,1777.266522,Medio,2
Fluoxetina,Capsula,Fluoxetina 20 mg,mg,Fluoxetina,Genfar,329.295281,Medio,2
Proximetacaina,Frasco,Proximetacaina 5 mg,ml,Alcaine,Alcon,64184.74576,Medio,2
Proximetacaina,Frasco,Proximetacaina 5 mg,ml,Alcaine,Alcon,45600,Medio,2
Immunoglobulina Antitimocito,Vial,Immunoglobulina Antitimocito 25 mg,mg,Timoglobulina,Genzyme,626717.0858,Medio,2
Alopurinol,Tableta,Alopurinol 300 mg,mg,Alopurinol,Memphis,365.3996782,Bajo,1
Haloperidol,Tableta,Haloperidol 10 mg,mg,Haloperidol,Memphis,544.4616667,Alto,3
Haloperidol,Tableta,Haloperidol 10 mg,mg,Haloperidol,Memphis,2.933333333,Bajo,1
Acido Fusidico,Tubo,Acido Fusidico 2 g,g,Acido Fusidico,Genfar,8265.201363,Medio,2
Acido Fusidico,Tubo,Acido Fusidico 2 g,g,Acido Fusidico,Genfar,4295.640445,Bajo,1
Ketoprofeno,Tubo,"Ketoprofeno 2,5 g",g,Ketoprofeno,Genfar,20842.3795,Medio,2
Ketoprofeno,Tubo,"Ketoprofeno 2,5 g",g,Ketoprofeno,Genfar,3852.802066,Bajo,1
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,2460.764272,Medio,2
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,707.1738267,Medio,2
Azitromicina,Frasco,Azitromicina 200 mg,ml,Azitromicina,Genfar,11438.59333,Bajo,1
Azitromicina,Frasco,Azitromicina 200 mg,ml,Azitromicina,Genfar,4489.110307,Bajo,1
Cetirizina,Tableta,Cetirizina 10 mg,mg,Alerviden,Biochem,1988.48362,Alto,3
Tiopental,Vial,Tiopental 1 g,g,Tiopental,Feparvi,570.6666667,Medio,2
Tiopental,Vial,Tiopental 1 g,g,Tiopental,Feparvi,507.0588235,Medio,2
Pancuronio,Ampolla,Pancuronio 4 mg,ml,Bromuro De Pancuronio,Feparvi,450,Medio,2
Pancuronio,Ampolla,Pancuronio 4 mg,ml,Bromuro De Pancuronio,Feparvi,522.7272727,Medio,2
Salbutamol,Frasco,Salbutamol 40 mg,ml,Salbutamol,Memphis,3583.835714,Medio,2
Hierro Sacarosa,Ampolla,Hierro Sacarosa 100 mg,ml,Venofer,Vifor,236943,Alto,3
Hierro Sacarosa,Ampolla,Hierro Sacarosa 100 mg,ml,Venofer,Vifor,19577.77617,Alto,3
Medroxiprogesterona Y Estradiol,Ampolla,Estradiol 5 mg + Acetato De Medroxiprogesterona 25 mg,ml,Cyclofem,Profamilia,233.5242105,Medio,2
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1716,Medio,2
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1066.48318,Medio,2
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,La Sante,3112.160831,Medio,2
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,La Sante,12.942,Bajo,1
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,6719.61823,Alto,3
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,728.6493655,Medio,2
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,506.4018161,Medio,2
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,470,Medio,2
Deferoxamina,Vial,Deferoxamina 500 mg,mg,Desferal,Novartis,19905,Medio,2
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,229.5269746,Medio,2
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,99.96243386,Medio,2
Ambroxol,Frasco,Ambroxol 15 mg,ml,Ambroxol,Tecnofar,7221.086218,Medio,2
Ambroxol,Frasco,Ambroxol 15 mg,ml,Ambroxol,Tecnofar,3443.217391,Medio,2
