Expediente_INVIMA,principio_activo,concentracion,unidad_base,unidad_de_dispensacion,nombre_comercial,fabricante,medicamento,canal,precio_por_tableta,factoresprecio,numerofactor
103795,Midazolam,Midazolam 15 mg,ml,Ampolla,Dormicum,Siegfried,Dormicum (Siegfried) - Ampolla 3 ml - Cada 3 ml contiene: Midazolam 15 mg,Institucional,11199.8,Alto,3
104739,Acido Valproico,Divalproato Sodico 500 mg,mg,Tableta,Valcote,Lafrancol,Valcote (Lafrancol) - Cada Tableta contiene: Divalproato Sodico 500 mg,Comercial,3752.866667,Medio,2
104739,Acido Valproico,Divalproato Sodico 500 mg,mg,Tableta,Valcote,Lafrancol,Valcote (Lafrancol) - Cada Tableta contiene: Divalproato Sodico 500 mg,Institucional,1777.266522,Medio,2
10815,Fluoxetina,Fluoxetina 20 mg,mg,Capsula,Fluoxetina,Genfar,Fluoxetina (Genfar) - Cada Capsula contiene: Fluoxetina 20 mg,Comercial,329.295281,Medio,2
111057,Proximetacaina,Proximetacaina 5 mg,ml,Frasco,Alcaine,Alcon,Alcaine (Alcon) - Frasco 15 ml - Cada 1 ml contiene: Proximetacaina 5 mg,Comercial,64184.74576,Medio,2
111057,Proximetacaina,Proximetacaina 5 mg,ml,Frasco,Alcaine,Alcon,Alcaine (Alcon) - Frasco 15 ml - Cada 1 ml contiene: Proximetacaina 5 mg,Institucional,45600,Medio,2
113757,Immunoglobulina Antitimocito,Immunoglobulina Antitimocito 25 mg,mg,Vial,Timoglobulina,Genzyme,Timoglobulina (Genzyme) - Cada Vial contiene: Immunoglobulina Antitimocito 25 mg,Institucional,626717.0858,Medio,2
11415,Alopurinol,Alopurinol 300 mg,mg,Tableta,Alopurinol,Memphis,Alopurinol (Memphis) - Cada Tableta contiene: Alopurinol 300 mg,Comercial,365.3996782,Bajo,1
11416,Haloperidol,Haloperidol 10 mg,mg,Tableta,Haloperidol,Memphis,Haloperidol (Memphis) - Cada Tableta contiene: Haloperidol 10 mg,Comercial,544.4616667,Alto,3
11416,Haloperidol,Haloperidol 10 mg,mg,Tableta,Haloperidol,Memphis,Haloperidol (Memphis) - Cada Tableta contiene: Haloperidol 10 mg,Institucional,2.933333333,Bajo,1
11697,Acido Fusidico,Acido Fusidico 2 g,g,Tubo,Acido Fusidico,Genfar,Acido Fusidico (Genfar) - Tubo 15 g - Cada 100 g contiene: Acido Fusidico 2 g,Comercial,8265.201363,Medio,2
11697,Acido Fusidico,Acido Fusidico 2 g,g,Tubo,Acido Fusidico,Genfar,Acido Fusidico (Genfar) - Tubo 15 g - Cada 100 g contiene: Acido Fusidico 2 g,Institucional,4295.640445,Bajo,1
11699,Ketoprofeno,"Ketoprofeno 2,5 g",g,Tubo,Ketoprofeno,Genfar,"Ketoprofeno (Genfar) - Tubo 60 g - Cada 100 g contiene: Ketoprofeno 2,5 g",Comercial,20842.3795,Medio,2
